description,category
Hospital Bill Transaction,Healthcare
Haldirams Purchase,Food
Tata Power Bill,Bills
Appliance Store,Shopping
Spotify Online,Entertainment
Reliance Digital Purchase,Shopping
Medical Lab Test Transaction,Healthcare
Doctor Consultation Auto-pay,Healthcare
RedBus Transaction,Travel
Hospital Bill,Healthcare
Electricity Bill Online,Bills
PVR Cinemas,Entertainment
Croma NEFT,Shopping
Electronics Store Online,Shopping
Mahanagar Gas App,Bills
Milk Purchase Online,Groceries
Local Cafe,Food
DTH Recharge Purchase,Bills
Cab Ride NEFT,Travel
Bank Charges Payment,Miscellaneous
Practo Bill,Healthcare
Health Insurance Bill,Healthcare
Flipkart Online,Shopping
Amazon Prime IMPS,Entertainment
Amazon Prime,Entertainment
Gym Membership NEFT,Miscellaneous
Dental Treatment Transaction,Healthcare
Flipkart Bill,Shopping
Jio Recharge Purchase,Bills
Airtel Postpaid IMPS,Bills
Bus Ticket Transaction,Travel
1mg Recharge,Healthcare
Tata Power via UPI,Bills
Courier Service Purchase,Miscellaneous
ATM Withdrawal IMPS,Miscellaneous
Steam Auto-pay,Entertainment
Steam App,Entertainment
Bikanervala App,Food
Train Ticket Transaction,Travel
Pharma App,Healthcare
Tata Power Bill,Bills
Airport Taxi via UPI,Travel
Milk Purchase Bill,Groceries
Croma NEFT,Shopping
BookMyShow Recharge,Entertainment
Maintenance Charges IMPS,Bills
OTT Subscription Payment,Entertainment
Daily Essentials Recharge,Groceries
Supermarket Grocery,Groceries
Jio Recharge,Bills
Hotstar Transaction,Entertainment
Bakery Transaction,Food
Lifestyle Online,Shopping
BigBasket NEFT,Groceries
Nature's Basket Transaction,Groceries
Rapido via UPI,Travel
Hospital Bill Online,Healthcare
Maintenance Charges Auto-pay,Bills
Doctor Consultation Payment,Healthcare
Local Cafe Online,Food
DMart Transaction,Groceries
Uber Transaction,Travel
Reliance Smart Transaction,Groceries
Donation App,Miscellaneous
Uber IMPS,Travel
BigBasket,Groceries
Clothing Store via UPI,Shopping
Bescom Transaction,Bills
Bescom NEFT,Bills
BigBasket Auto-pay,Groceries
Medical Lab Test Payment,Healthcare
BlueDart Payment,Miscellaneous
ATM Withdrawal App,Miscellaneous
Practo Transaction,Healthcare
Vi Mobile Bill via UPI,Bills
Maintenance Charges Bill,Bills
